job_id,title,employer_name,city,state,country,is_remote,employment_type,min_salary,max_salary,salary_currency,salary_period,description,apply_link,posted_at_datetime,job_publisher,required_experience,required_skills,required_education,benefits,google_link,expiration_datetime
0K9fqObhaR2Syig2AAAAAA==,Desarrollador De Python - €55.000 - €65.000 A Year - Remote,Abalia,Vitoria-Gasteiz,Álava,ES,False,A tiempo completo,,,,,"Senior Python Developer (Remote – Spain) (Just Spanish Residents) We’re looking for a Senior Python Developer to join a growing international engineering team. If you’re passionate about building scalable solutions, enjoy collaborating across disciplines, and want to work with modern technologies in a flexible environment — we’d love to hear from you!",https://es.jobrapido.com/jobpreview/8117555519494815744?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobrapido.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3D0K9fqObhaR2Syig2AAAAAA%3D%3D&vssid=jobs-detail-viewer,
EA2JBeycNChTiMGlAAAAAA==,Senior Backend Developer (Python & FastAPI) (100% remote Spain),UST España & Latam,Lleida,Lérida,ES,False,A tiempo completo,,,,,"UST is looking for the very Top Talent...and we would be delighted if you were to join our family! More in details, UST is a multinational company based in North America, certified as a Top Employer and Great Place to Work company with over 35.000 employees all over the world and presence in more than 35 countries. We are leaders on digital technology services, and we provide large-scale technologic solutions to big companies. What are we looking for? We are looking for a Senior Backend Develope...",https://es.jooble.org/jdp/-2969850663305094241?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jooble,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DEA2JBeycNChTiMGlAAAAAA%3D%3D&vssid=jobs-detail-viewer,
2-n34Ood7Y7J6rYVAAAAAA==,Senior AI Developer: Remote (Spain) – Python & LangChain,Grupo Digital,Madrid,Madrid,ES,False,Contratista,,,,,"Una consultora tecnológica busca un desarrollador/a senior para un proyecto innovador en el sector banca. El candidato ideal tendrá entre 4 y 10 años de experiencia, competencias en Python y frameworks de IA como LangChain y LangGraph, además de habilidades en microservicios. Se ofrece un salario competitivo, contrato indefinido u opción mercantil, y la posibilidad de trabajar de forma remota desde España. Es un entorno colaborativo, centrado en soluciones complejas y de alto rendimiento. #J-188...",https://es.jobrapido.com/jobpreview/5584796400052338688?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobrapido.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3D2-n34Ood7Y7J6rYVAAAAAA%3D%3D&vssid=jobs-detail-viewer,
LHKryfkzTY5PJe9kAAAAAA==,Senior Backend Developer (Python & FastAPI) (100% remote Spain),UST,Madrid,Madrid,ES,False,A tiempo completo,,,,,"Role Description We are looking for the very Top Talent…and we would be delighted if you were to join our team! More in details, UST is a multinational company based in North America, certified as a Top Employer and Great Place to Work company with over 35.000 employees all over the world and presence in more than 35 countries. We are leaders on digital technology services, and we provide large-scale technologic solutions to big companies. What are we looking for? We are looking for a Senior Bac...",https://es.linkedin.com/jobs/view/senior-backend-developer-python-fastapi-100%25-remote-spain-at-ust-4347018804?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,LinkedIn,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DLHKryfkzTY5PJe9kAAAAAA%3D%3D&vssid=jobs-detail-viewer,
_cllY42w4U9qr7ScAAAAAA==,Desarrollador De Python - Hasta €55.000 Al Año - Remote,Haut.AI,,,,False,A tiempo completo,,,,,"Senior Python Developer (Remote – Spain) (Just Spanish Residents) We’re looking for a Senior Python Developer to join a growing international engineering team. If you’re passionate about building scalable solutions, enjoy collaborating across disciplines, and want to work with modern technologies in a flexible environment — we’d love to hear from you!",https://es.jobrapido.com/jobpreview/7097477971828539392?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobrapido.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3D_cllY42w4U9qr7ScAAAAAA%3D%3D&vssid=jobs-detail-viewer,
5RFKOGqBoFM1j_hBAAAAAA==,Python Developer - 100% Remote (Exclusively for residents of Spain) (País Vasco),Infosernt,,,ES,False,A tiempo completo,,,,,"Infoser NT is hiring: Python Software Engineer We're looking for a talented Python Software Engineer to join our innovative team and help us build scalable, cloud-native solutions. If you're passionate about automation, cloud infrastructure, and DevOps practices, this is your opportunity to make a real impact. Key Responsibilities - Design and maintain reliable, robust, and scalable DevOps platforms for cloud systems and services. - Develop and improve tools for CI/CD, automated testing, and adv...",https://www.jobijoba.es/oferta-empleo/69/79a7dba7e61040575eca86f05970563e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobijoba,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3D5RFKOGqBoFM1j_hBAAAAAA%3D%3D&vssid=jobs-detail-viewer,
g6GDJLFYbxkL_F8rAAAAAA==,Senior PRODUCT Python Developer (Remote – Spain),Matchtech,Vitoria-Gasteiz,Álava,ES,False,A tiempo completo,,,,,"Senior PRODUCT Python Developer (Remote – Spain) (Just Spanish Residents allowed) Build scalable solutions that power global digital experiences. We’re looking for a Senior Product Python Developer to join a growing international engineering team. You’ll work in a collaborative, agile environment where innovation, autonomy, and technical excellence are part of the daily culture. If you’re passionate about designing elegant, scalable systems, love working with modern technologies, and want to con...",https://es.talent.com/view?id=3966119c4367&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3Dg6GDJLFYbxkL_F8rAAAAAA%3D%3D&vssid=jobs-detail-viewer,
U0kogCCENpfEGDPAAAAAAA==,Senior Backend Developer (Python & FastAPI) (100% remote Spain),UST España & Latam,"Cequeliños, Arbo",Pontevedra,ES,False,A tiempo completo,,,,,"🚀 UST is looking for the very Top Talent…and we would be delighted if you were to join our family! More in details, UST is a multinational company based in North America, certified as a Top Employer and Great Place to Work company with over 35.000 employees all over the world and presence in more than 35 countries. We are leaders on digital technology services, and we provide large-scale technologic solutions to big companies. 🔎 What are we looking for? We are looking for a Senior Backend Develo...",https://es.jooble.org/jdp/5229730551049224583?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jooble,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DU0kogCCENpfEGDPAAAAAAA%3D%3D&vssid=jobs-detail-viewer,
gWAHzZBuNhoPCdF3AAAAAA==,Senior Backend Developer (Python & FastAPI) (100  remote Spain),UST España & Latam,Bilbao,Vizcaya,ES,False,A tiempo completo,,,,,"UST is a multinational company based in North America, certified as a Top Employer and Great Place to Work company with over 35.000 employees all over the world and presence in more than 35 countries. We are leaders on digital technology services, and we provide large-scale technologic solutions to big companies. We are looking for a Senior Backend Developer working close to one of our main clients in financial sector. Development and maintenance of a Python-based application using FastAPI to ma...",https://es.bebee.com/job/28847138e833ca28fc050444bad2b828?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,BeBee,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DgWAHzZBuNhoPCdF3AAAAAA%3D%3D&vssid=jobs-detail-viewer,
GLUSC48bkJy7MOVCAAAAAA==,Senior Python Dev for AI/LLM RAG Projects — Remote (Madrid),SerenityGPT,Madrid,Madrid,ES,False,A tiempo completo,,,,,"A fast-growing GenAI startup in Spain is seeking a Senior Python Developer to join their high-performing team. You will work closely with the CTO on cutting-edge AI solutions for various industries. The idóneo candidate should have over 2 years of Python experience and knowledge of REST APIs, Docker, Git, and SQL databases. Benefits include work from home options, training and development, and a stock option plan. #J-18808-Ljbffr",https://www.jobijoba.es/oferta-empleo/69/b141aff73e83db8db1650fe57d480093?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobijoba,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DGLUSC48bkJy7MOVCAAAAAA%3D%3D&vssid=jobs-detail-viewer,
